"Yes, Cancel sale","Si, cancelar venta"
Error submitting invoice,Error al enviar factura
Error submitting invoice No response from server,Error al enviar factura No hay respuesta del servidor
Error toggling item details,Error al alternar detalles del artículo
Error updating item details,Error al actualizar detalles del artículo
Event-loop lag measures how busy your browser is. Lower is better.,El Event-Loop lag mide qué tan ocupado está tu navegador. Menor es mejor.
Expected Amount,Cantidad Esperada
Failed to change language,Error al cambiar el idioma
Failed to clear cache,Error al limpiar caché
Failed to load items. Please try again.,Error al cargar artículos. Por favor, inténtelo de nuevo.
Fetch Items Directly from Server,Obtener artículos directamente del servidor
Fixing payment amounts for return invoice,Corregir cantidades de pago para factura de devolución
Flash Off,Apagar Flash
Flash On,Encender Flash
For POS Closing Shift Payment Reconciliation,Para Reconciliación de Pago Cierre POS
Full Name,Nombre Completo
Gender,Género
Get Payments,Obtener Pagos
Give Item,Artículo en Oferta
Give Item Row ID,ID de Artículo en Oferta
Give Product,Oferta de Artículo
Given Quantity,Cantidad en Oferta
Go Offline,Desconectar
Go Online,Conectar
Go Online/Offline,Conectar/Desconectar
Grand Amount,Cantidad Final
Grand Total,Gran Total
Group,Grupo
Group not found,Grupo no encontrado
Hide Close Shift,Ocultar Cierre de Turno
Hide Non Essential Fields,Ocultar Campos No Esenciales
Hide quantity decimals,Ocultar decimales en cantidad
Hide Unavailable Items,Ocultar Artículos No Disponibles
Hide Variants Items,Ocultar Variantes de Artículos
Hide zero rated items,Ocultar artículos con tarifa cero
HOLD,EN ESPERA
Hold,En Espera
Increase,Aumentar
IndexedDB,IndexedDB
Initialize your shift with opening balances,Inicializar tu turno con saldos de apertura
Initializing application...,Inicializando aplicación...
Installed Applications,Aplicaciones Instaladas
Invalid closing amount,Cantidad de cierre inválida
Invalid Period,Período inválido
Invoice,Factura
Invoice {0} Deleted,Factura {0} Eliminada
Invoice saved offline,Factura guardada offline
Invoices,Facturas
Is Credit Sale,Es Crédito
is Offer,es Oferta
Is Offer Replace For item Row ID,Es Oferta de Reemplazo para ID de Artículo
It is best not to use more than four numbers,Es mejor no usar más de cuatro números
Item,Artículo
Item Code,Código de Artículo
Item not found,Artículo no encontrado
Item order updated,Orden de artículo actualizado
Item Price,Precio de Artículo
Item price updated,Precio de artículo actualizado
Item Rate Should Less Then,La tarifa de artículo debe ser menor que
Item Selector Settings,Configuración de Selector de Artículos
Items,Artículos
Items Discounts,Descuentos de Artículos
Items Group,Grupo de Artículos
Items per page,Artículos por página
Language,Idioma
Language changed successfully! Reloading...,¡Idioma cambiado exitosamente! Recargando...
Language will be changed to,El idioma se cambiará a
Light Mode,Modo Claro
Light/Dark Mode,Modo Claro/Oscuro
Linked Invoices,Facturas Vinculadas
List,Lista
Load Drafts,Cargar Borradores
Load More Invoices,Cargar Más Facturas
Load previously saved invoices,Cargar facturas previamente guardadas
Load Sales Invoice,Cargar Factura de Venta
Loading,Cargando
Loading app data...,Cargando datos de la aplicación...
Loading cache,Cargando caché
Loading customer database...,Cargando base de datos de clientes
Loading database stats,Cargando estadísticas de base de datos
Loading product catalog...,Cargando catálogo de productos
Loading server CPU/memory usage,Cargando uso de CPU/memoria del servidor
localStorage,localStorage
Logout,Cerrar Sesión
Loyalty Point,Punto de Fidelidad
Loyalty Point Offer Applied,Oferta de Puntos de Fidelidad Aplicada
Loyalty Point Scheme,Esquema de Puntos de Fidelidad
Loyalty Points,Puntos de Fidelidad
Manage your offline transactions,Gestiona tus transacciones sin conexión
Max Amount,Valor Máximo
Max Discount Percentage Allowed ,Porcentaje de Descuento Máximo Permitido
Max Quantity,Cantidad Máxima
Maximum discount for Item {0} is {1}%,Descuento máximo para el artículo {0} es {1}%
MB,MB
Menu,Menú
Min Amount,Valor Mínimo
Min Quantity,Cantidad Mínima
Mobile No,Número de Celular
Mobile Number,Número de Celular
Mode,Modo
Mode of Payment,Modo de Pago
Mode of Payments,Modos de Pago
Modes of Payment,Modos de Pago
ms,ms
Multiple Items Found,Multiples Artículos Encontrados
Name,Nombre
Negative values not allowed,Valores negativos no permitidos
Net Total,Total Neto
NEW,NUEVO
New Customer,Nuevo Cliente
New Offer Available,Nueva Oferta Disponible
New Price List Rate,Nueva Tarifa de Lista de Precios
No camera found on this device.,Cámara no encontrada en este dispositivo
No invoices found,No se encontraron facturas
No invoices found. Try different search criteria.,No se encontraron facturas. Intenta diferentes criterios de búsqueda.
No Item has this barcode,Ningún artículo tiene este código de barras
No items found,No se encontraron artículos
No items in cart,No hay artículos en el carrito
No offline invoices pending synchronization,No hay facturas sin sincronizar
Nobile Number,Número de Celular
Offer,Oferta
Offer Applied,Oferta Aplicada
Offer Name,Nombre de Oferta
Offers,Ofertas
Offline Invoices,Facturas Sin Conexión
Open,Abrir
Opening Amount,Cantidad de Apertura
Opening Balance Details,Detalles de Saldo de Apertura
Order,Orden
Outstanding,Pendiente
Pages,Páginas
Paid,Pagado
Paid Amount,Valor Pagada
Paid Change,Devuelta
PAY,PAGAR
Payment ID,ID de Pago
Payment Methods,Métodos de Pago
Payment name not found. Cannot open print view.,Nombre de pago no encontrado. No se puede abrir la vista de impresión.
Payment Reconciliation,Reconciliación de Pago
Payment request failed,Falló la solicitud de pago
